1	Busi	Busi	PROPN	NE	_	0	root	_	_

1	gerade	gerade	ADV	PTKIFG	_	2	advmod	_	_
2	eben	eben	ADV	ADV	_	5	advmod	_	_
3	ist	sein	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	5	cop	_	_
4	ein	ein	DET	ART	Definite=Ind|PronType=Art	5	det	_	_
5	Unfall	Unfall	NOUN	NN	_	6	obl	_	_
6	passiert	passieren	VERB	VVPP	Number=Sing|Person=3|VerbForm=Fin	0	root	_	_

1	so	so	ADV	PTKIFG	_	3	advmod	_	_
2	ein	ein	DET	ART	Definite=Ind|PronType=Art	3	det	_	_
3	Typ	Typ	NOUN	NN	_	0	root	_	_
4	der	d	DET	ART	Case=Nom|PronType=Dem	7	nsubj	_	_
5	die	d	DET	ART	Case=Acc|Definite=Def|Gender=Fem|Number=Sing|PronType=Art	6	det	_	_
6	Straße	Straße	NOUN	NN	Case=Acc|Gender=Fem|Number=Sing	7	obj	_	_
7	überqueren	überqueren	VERB	VVINF	VerbForm=Inf	3	acl	_	_
8	wollte	wollen	AUX	VMFIN	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	7	aux	_	_
9	hat	haben	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	7	aux	_	_
10	den	d	DET	ART	Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	11	det	_	_
11	Ball	Ball	NOUN	NN	Case=Acc|Gender=Masc|Number=Sing	16	obj	_	_
12	den	d	PRON	PRELS	Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Art	16	obj	_	_
13	er	er	PRON	PPER	Case=Nom|Gender=Masc|Number=Sing|Person=3|PronType=Prs	16	nsubj	_	_
14	hatte	haben	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	16	aux	_	_
15	fallen	fallen	VERB	VVINF	VerbForm=Inf	16	xcomp	_	_
16	lassen	lassen	VERB	VVINF	VerbForm=Inf	7	xcomp	_	_

1	und	und	CCONJ	KON	_	9	cc	_	_
2	und	und	CCONJ	KON	_	9	cc	_	_
3	genau	genau	ADV	PTKIFG	Degree=Pos	6	advmod	_	_
4	in	in	ADP	APPR	_	6	case	_	_
5	dem	d	DET	ART	Case=Dat|Definite=Def|Gender=Masc,Neut|Number=Sing|PronType=Art	6	det	_	_
6	Moment	Moment	NOUN	NN	Case=Dat|Gender=Masc,Neut|Number=Sing	9	nmod	_	_
7	war	sein	AUX	VAFIN	Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin	9	cop	_	_
